Description,Number,Number Notes,Hours,URL,Toll Free Call?,Date Modified
"Emergency Call for Fire, Ambulance or Emergency Rescue",119,,"24x7, 365d",http://www.tfd.metro.tokyo.jp/eng/,True,2018-06-14 15:15:01
Emergency Advisory Service for non-Emergency Inquiries,#7119,,"24x7, 365d",,False,2018-06-14 18:02:32
Emergency Call to Police,110,,"24x7, 365d",http://www.keishicho.metro.tokyo.jp/multilingual/english/index.html,True,2018-06-13 20:21:36
Police Advisory Service for non-Emergency,#9110,,"24x7, 365d",http://www.keishicho.metro.tokyo.jp/multilingual/english/index.html,False,2018-06-13 20:21:36
Emergency Call to Coast Guard,118,,"24x7, 365d",http://www.kaiho.mlit.go.jp/,True,2018-06-13 20:21:37
Police Consultation in English,03-3503-8484,,"8:30-17:15, Mon-Fri",,False,2018-06-14 17:46:30
Disaster Voice Message,171,"Testing Availability Dates and Times: 

* 1st and 15th of each month: 0:00-24:00
* New years: 1 Jan 00:00~3 Jan 24:00
* Disaster prevention week: 30 Aug 9:00~5 Sept 17:00
* Disaster Prevention and Volunteer Week: 15 Jan 9:00~21 Jan 17:00",Available during disasters. Testing on 1st and 15th.,https://www.web171.jp/,True,2018-06-14 17:44:39
"Japan Disaster Alerts ""J-ALERT""",,,,https://esolia.com/japan-emergency-broadcast-system-j-alert/,False,2018-09-12 11:06:32
NHK World TV App for Smart Phones (Enable Alerts in Settings),,,,https://apple.co/2EmIeUD,False,2018-06-11 14:48:18
"JAPAN Hospital Guide App with GPS Map, for iOS",,,,https://itunes.apple.com/us/app/japan-hospital-guide/id1296151839?mt=8,False,2018-06-22 10:08:20
Road Problem Reporting,#9910,,"24x7, 365d",,True,2018-06-14 16:53:53
Road Service (JAF),#8139,,"24x7, 365d",http://www.jaf.or.jp/e/road_s_info.htm,False,2018-06-13 20:21:37
Directory Assistance,104,,"24x7, 365d",https://www.ntt-east.co.jp/en/product/option_104.html,False,2018-06-13 20:21:38
Time Announcement Service,117,,"24x7, 365d",https://www.ntt-east.co.jp/en/contact/,False,2018-06-13 20:21:38
Weather Announcement Service,177,,"24x7, 365d",https://www.ntt-east.co.jp/en/contact/,False,2018-06-14 15:40:12
Tokyo Electric Power Co. (TEPCO),0120-995-002,"Inquiries related to power failures and electricity charges. 0120-995-002 is for ""1st Area"" in Tokyo only, so check website for other areas' phone numbers.","9:00-17:00, Except Holidays",http://www.tepco.co.jp/en/customer/support/tokyo-e.html,True,2018-06-14 17:59:11
"Tokyo Gas, Gas Leak Emergency",03-6735-8899,,"24x7, 365d",http://www.tokyo-gas.co.jp/en/emergencies/smell.html,False,2018-06-14 17:47:27
Tokyo Bureau of Waterworks Customer Service (Water Leak Emergency),03-5326-1101,"For questions in English, Chinese, Korean, Portuguese and Spanish, regarding fees, repairing water leaks or other problems. Dial 03-5326-1100 for Change of Address or Contract.
","24x7, 365d",https://www.waterworks.metro.tokyo.jp/eng/charge/madoguchi/center_23.html,False,2018-08-31 12:21:41
Tokyo Multilingual Call Center,0120-805-261,"_New Service as of 2018_  
  
0120-805262（Chinese）
0120-805263（Korean）","24x7, 365d",http://call.tokyo.jp/en/,True,2018-06-14 17:48:56
Japan Helpline,0570-000-911,,"24x7, 365d",https://www.jhelp.com/en/jhlp.html,True,2018-06-13 20:21:38
Tokyo English Life Line (TELL) Counseling,03-5774-0992,,"9:00-23:00, 365d",https://telljp.com/,False,2018-06-13 20:21:38
InterFM 76.1 MHz Radio Multi-language Disaster Information,,,,,False,2018-06-11 14:48:19
JR-EAST customer center (Lost and Found),050-2016-1603,"Phone support service for foreign visitors lost-and-found provided in English, Chinese, and Korean.","10:00-18:00, Daily Except New Year’s holidays",http://www.jreast.co.jp/e/customer_support/,False,2018-06-14 17:51:28
Tokyo Metro Lost & Found Center,03-5227-5741,At Iidabashi Station (N10 on the Namboku Line),"9:00-20:00, Daily",https://www.tokyometro.jp/en/faq_lost/index.html,False,2018-06-14 17:53:30
Toei Transportation Customer Center (Lost and Found),03-3816-5700,,"9:00-20:00, Daily",https://www.kotsu.metro.tokyo.jp/eng/tips/found.html,False,2018-06-13 20:21:38
Haneda Airport (Lost and Found),03-5757-8107,"You can also fax to 03-5757-8219, 24x7, 365d, but the answer to your inquiry will be made during normal business hours only.","9:00-20:00, Daily",https://www.tokyo-airport-bldg.co.jp/en/service_facilities/information_desk/lost_and_found.html,False,2018-06-14 18:00:55
Narita Airport (Lost and Found),0476-34-8000,"If you do know where you lost the article, please check the linked website for detailed info on more specific contact numbers.","24x7, 365d",https://www.narita-airport.jp/en/faq_ask#contact01,False,2018-06-14 17:56:12
Tokyo Metropolitan Police (Lost and Found),03-3814-4151,,"8:30-17:15, Mon-Fri",http://www.keishicho.metro.tokyo.jp/multilingual/english/finding_services/lost_and_found/lost_found.html,False,2018-06-14 16:39:00
